OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
907,907,48,201,422302,1,2350,974,2350,619,1731,1708,372,1234,2,97,0,3,23,1748,441,1307,1295,335,872,2,85,0,1,12,974,908,66,482014223021,15000US482014223021,482014223021,59231
908,908,48,201,422401,1,1325,622,1325,632,693,679,147,484,1,42,0,5,14,922,414,508,500,128,342,1,28,0,1,8,622,458,164,482014224011,15000US482014224011,482014224011,31678
909,909,48,201,422401,2,1003,424,1003,368,635,627,49,566,0,12,0,0,8,676,212,464,461,43,412,0,6,0,0,3,424,400,24,482014224012,15000US482014224012,482014224012,25168
910,910,48,201,422401,3,1582,867,1582,291,1291,1284,254,873,6,147,0,4,7,1228,200,1028,1022,246,620,6,146,0,4,6,867,827,40,482014224013,15000US482014224013,482014224013,12028
911,911,48,201,422402,1,1526,518,1526,888,638,624,315,210,18,76,0,5,14,1035,543,492,482,271,144,14,51,0,2,10,518,480,38,482014224021,15000US482014224021,482014224021,25809
912,912,48,201,422402,2,1982,679,1982,1247,735,722,314,349,1,53,3,2,13,1363,792,571,565,267,249,0,44,3,2,6,679,627,52,482014224022,15000US482014224022,482014224022,25000
913,913,48,201,422402,3,1669,574,1669,1447,222,216,21,186,0,8,0,1,6,1091,942,149,146,17,120,0,8,0,1,3,574,490,84,482014224023,15000US482014224023,482014224023,29618
914,914,48,201,422402,4,897,394,897,192,705,698,559,68,1,68,0,2,7,726,140,586,585,479,50,1,55,0,0,1,394,383,11,482014224024,15000US482014224024,482014224024,79394
915,915,48,201,422500,1,2290,787,2290,1447,843,812,122,543,2,142,0,3,31,1428,811,617,596,100,400,0,93,0,3,21,787,700,87,482014225001,15000US482014225001,482014225001,18108
916,916,48,201,422500,2,1164,477,1164,160,1004,982,883,28,4,63,0,4,22,944,113,831,821,746,21,3,49,0,2,10,477,466,11,482014225002,15000US482014225002,482014225002,125364
917,917,48,201,422500,3,1163,856,1163,525,638,622,133,422,0,55,0,12,16,780,347,433,421,102,281,0,32,0,6,12,856,408,448,482014225003,15000US482014225003,482014225003,23177
918,918,48,201,422500,4,1030,562,1030,179,851,839,621,131,1,76,0,10,12,875,144,731,722,543,113,1,63,0,2,9,562,542,20,482014225004,15000US482014225004,482014225004,50489
