OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
38,48,039,662700,2550,1026,2550,416,2134,2093,1851,217,16,9,0,0,41,1905,270,1635,1619,1430,168,13,8,0,0,16,1026,903,123,2309169104.45501,313869.603376
39,48,039,662800,6470,2735,6470,894,5576,5512,4406,1025,40,25,0,16,64,4779,574,4205,4170,3403,714,23,22,0,8,35,2735,2431,304,1455545850.46857,207539.89287
40,48,039,662900,4833,1983,4833,961,3872,3807,3374,379,19,30,0,5,65,3536,608,2928,2900,2574,287,17,17,0,5,28,1983,1783,200,617920348.059183,147863.839428
41,48,039,663000,4487,1400,4487,915,3572,3532,2675,837,8,9,3,0,40,3537,688,2849,2832,2112,702,6,9,3,0,17,1400,1262,138,667163479.028987,140402.089755
42,48,039,663100,6386,2048,6386,1264,5122,5072,4211,680,13,165,0,3,50,5104,884,4220,4191,3407,649,11,124,0,0,29,2048,1907,141,1094230883.15149,163074.595534
43,48,039,663200,4984,2141,4984,995,3989,3934,3585,206,21,101,0,21,55,3745,632,3113,3083,2825,150,16,77,0,15,30,2141,1980,161,47107290.160886,32637.945269
44,48,039,663300,2661,972,2661,858,1803,1768,1561,164,16,23,2,2,35,1838,538,1300,1289,1154,105,12,16,2,0,11,972,904,68,26768013.367986,25218.421301
45,48,039,663400,6989,3178,6989,1260,5729,5642,4709,476,20,428,3,6,87,5145,809,4336,4296,3645,328,11,306,3,3,40,3178,2848,330,124349084.806044,52133.126153
46,48,039,663500,5561,2407,5561,1554,4007,3942,3579,271,30,60,2,0,65,4104,963,3141,3103,2830,200,26,45,2,0,38,2407,2203,204,39191978.675858,28852.836668
47,48,039,663600,5080,1872,5080,714,4366,4294,4016,159,13,99,1,6,72,3735,444,3291,3258,3066,95,12,79,1,5,33,1872,1820,52,62972287.316921,41323.653735
48,48,039,663700,3471,1480,3471,1197,2274,2215,1871,276,14,45,0,9,59,2512,750,1762,1732,1472,206,12,35,0,7,30,1480,1324,156,40249830.675479,44707.381249
49,48,039,663800,5658,2226,5658,2666,2992,2937,2315,557,13,44,1,7,55,3890,1626,2264,2240,1852,341,11,35,0,1,24,2226,1987,239,61519320.216433,35551.023344
50,48,039,663900,2324,863,2324,1440,884,863,690,161,2,9,0,1,21,1634,921,713,705,584,112,2,6,0,1,8,863,801,62,35335530.95404,33405.458756
51,48,039,664000,4184,1843,4184,2187,1997,1951,1503,422,7,17,0,2,46,2935,1351,1584,1563,1241,298,7,15,0,2,21,1843,1470,373,374230412.105224,95459.770536
52,48,039,664100,5348,2401,5348,2184,3164,3107,2797,261,18,29,0,2,57,3915,1366,2549,2520,2302,179,14,23,0,2,29,2401,1920,481,2201086172.20301,332040.168436
53,48,039,664200,1916,2123,1916,333,1583,1547,1463,52,20,10,0,2,36,1541,224,1317,1298,1240,33,14,9,0,2,19,2123,850,1273,2443228748.14067,416992.332367
54,48,039,664300,5445,2056,5445,3462,1983,1915,1143,725,14,30,0,3,68,3606,2147,1459,1428,892,498,14,21,0,3,31,2056,1745,311,95450191.662686,44521.96701
55,48,039,664400,6591,2595,6591,3765,2826,2706,2030,625,17,28,1,5,120,4322,2264,2058,2008,1545,427,12,22,0,2,50,2595,2076,519,942214525.913945,169677.692271
56,48,039,664501,4925,2423,4925,998,3927,3846,3350,454,20,16,0,6,81,3765,592,3173,3128,2740,357,16,13,0,2,45,2423,1900,523,3915835429.8377,372871.233446
57,48,039,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353232835.44457,371488.903688
58,48,071,710100,6502,2434,6502,656,5846,5769,5496,208,34,26,5,0,77,4612,387,4225,4189,3996,147,24,20,2,0,36,2434,2240,194,1386222628.2973,182300.232768
59,48,071,710200,15543,5478,15543,3076,12467,12308,11025,1039,46,176,6,16,159,10788,1815,8973,8900,8022,714,38,117,2,7,73,5478,5043,435,2362639681.43607,348828.661867
60,48,071,710300,2890,1302,2890,241,2649,2609,1777,797,20,13,2,0,40,2246,154,2092,2067,1411,632,12,11,1,0,25,1302,1123,179,2568462494.26637,237579.801185
61,48,071,710401,6274,2411,6274,1478,4796,4744,4189,499,24,27,0,5,52,4566,852,3714,3680,3251,383,20,21,0,5,34,2411,2208,203,4123399590.56081,380065.294594
62,48,071,710500,3887,1666,3887,1184,2703,2652,2280,274,10,84,0,4,51,2873,759,2114,2095,1799,216,10,66,0,4,19,1666,1338,328,7289315794.60714,449927.501702
63,48,071,710600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6455759140.80554,432132.827363
64,48,071,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95819194.023278,49630.635865
65,48,157,670101,6801,1922,6801,3944,2857,2827,193,2579,8,32,0,15,30,4465,2523,1942,1931,172,1723,5,26,0,5,11,1922,1772,150,35999287.185494,30413.724198
66,48,157,670102,3383,1108,3383,1170,2213,2199,47,2115,2,28,0,7,14,2335,748,1587,1577,39,1506,2,25,0,5,10,1108,1045,63,13112657.403575,15736.037421
67,48,157,670200,8322,2566,8322,3234,5088,5041,253,4701,15,63,1,8,47,5839,2053,3786,3762,226,3458,11,61,1,5,24,2566,2440,126,39091788.489028,27865.345221
